,block_index,trial,trial_onset(s),stimulus_type,resp_key,rt(s),correct,is_omission,is_comission
269,3.0,269,351.03755449992605,Go,space,0.3673674999736249,Correct,False,False
270,3.0,270,352.03662310005166,Go,space,0.3828496001660824,Correct,False,False
271,3.0,271,353.0364508999046,No_go,,0.0,Correct,False,False
272,3.0,272,354.0347362000029,Go,space,0.3835809999145567,Correct,False,False
273,3.0,273,355.03479439998046,Go,space,0.4168620000127703,Correct,False,False
274,3.0,274,356.03309169993736,No_go,,0.0,Correct,False,False
275,3.0,275,357.0323509001173,Go,space,0.3999738998245448,Correct,False,False
276,3.0,276,358.0311104001012,No_go,,0.0,Correct,False,False
277,3.0,277,359.03041550004855,Go,space,0.3515830999240279,Correct,False,False
278,3.0,278,360.0290230000392,Go,space,0.3844955000095069,Correct,False,False
279,3.0,279,361.0281098000705,Go,space,0.499881099909544,Correct,False,False
280,3.0,280,362.0274807000533,Go,space,0.5038584999274462,Correct,False,False
281,3.0,281,363.02733479999006,Go,space,0.4661372001282871,Correct,False,False
282,3.0,282,364.0255026000086,Go,space,0.4340659000445157,Correct,False,False
283,3.0,283,365.0243170000613,Go,space,0.4673849001992494,Correct,False,False
284,3.0,284,366.0232840001117,Go,space,0.4214629000052809,Correct,False,False
285,3.0,285,367.0229863000568,No_go,,0.0,Correct,False,False
286,3.0,286,368.0220558999572,Go,space,0.3664637999609113,Correct,False,False
287,3.0,287,369.0204269001261,Go,space,0.3502680999226868,Correct,False,False
288,3.0,288,370.0194455999881,No_go,,0.0,Correct,False,False
289,3.0,289,371.0190685999114,No_go,space,0.3525042000692338,Incorrect,False,True
290,3.0,290,372.0175817999989,Go,space,0.3835855000652373,Correct,False,False
291,3.0,291,373.0166967001278,Go,space,0.300404799869284,Correct,False,False
292,3.0,292,374.0158617000561,No_go,,0.0,Correct,False,False
293,3.0,293,375.0141634000465,No_go,,0.0,Correct,False,False
294,3.0,294,376.01389629999176,Go,space,0.4168128001037985,Correct,False,False
295,3.0,295,377.0133650000207,Go,space,0.3705924998503178,Correct,False,False
296,3.0,296,378.0129029001109,No_go,,0.0,Correct,False,False
297,3.0,297,379.0114989001304,Go,space,0.3844447000883519,Correct,False,False
298,3.0,298,380.0101141000632,Go,space,0.4168662000447511,Correct,False,False
299,3.0,299,381.00908920005895,Go,space,0.3856806000694632,Correct,False,False
300,3.0,300,382.0088158000726,Go,space,0.3665644000284374,Correct,False,False
301,3.0,301,383.0083075999282,Go,space,0.3666222998872399,Correct,False,False
302,3.0,302,384.0065172999166,Go,space,0.4336747999768704,Correct,False,False
303,3.0,303,385.0103879000526,Go,space,0.3791671998333186,Correct,False,False
304,3.0,304,386.00496789999306,Go,space,0.3881811001338064,Correct,False,False
305,3.0,305,387.0036170000676,Go,space,0.3177292998880148,Correct,False,False
306,3.0,306,388.0021826999728,No_go,space,0.3197534999344498,Incorrect,False,True
307,3.0,307,389.0017385999672,Go,space,0.301554000005126,Correct,False,False
308,3.0,308,390.0016393999104,Go,space,0.4163910998031497,Correct,False,False
309,3.0,309,391.00036619999446,Go,space,0.3996091999579221,Correct,False,False
310,3.0,310,391.9991973999422,No_go,,0.0,Correct,False,False
311,3.0,311,392.9984486999456,Go,space,0.3171748998574912,Correct,False,False
312,3.0,312,393.9975395000074,Go,space,0.3671243998687714,Correct,False,False
313,3.0,313,394.9958953000605,Go,space,0.3504204999189824,Correct,False,False
314,3.0,314,395.9957620000933,Go,space,0.3666481000836938,Correct,False,False
315,4.0,315,413.5921998000704,No_go,space,0.470004899892956,Incorrect,False,True
316,4.0,316,414.5948646001052,Go,space,0.4330778999719769,Correct,False,False
317,4.0,317,415.59400600008667,Go,space,0.4000684998463839,Correct,False,False
318,4.0,318,416.59357600007206,No_go,,0.0,Correct,False,False
319,4.0,319,417.592152700061,No_go,,0.0,Correct,False,False
320,4.0,320,418.5908822999336,Go,space,0.48327980004251,Correct,False,False
321,4.0,321,419.5905812000856,No_go,,0.0,Correct,False,False
322,4.0,322,420.5891811999026,Go,space,0.4174921000376344,Correct,False,False
323,4.0,323,421.5913156000897,No_go,,0.0,Correct,False,False
324,4.0,324,422.58687600004487,Go,space,0.466939999954775,Correct,False,False
325,4.0,325,423.5862531000748,Go,space,0.4679165000561625,Correct,False,False
326,4.0,326,424.585723400116,No_go,,0.0,Correct,False,False
327,4.0,327,425.5845171001274,Go,space,0.4171825000084936,Correct,False,False
328,4.0,328,426.5839835999068,Go,space,0.5164530000183731,Correct,False,False
329,4.0,329,427.5827707999852,Go,space,0.4673920001368969,Correct,False,False
330,4.0,330,428.5806263000704,No_go,,0.0,Correct,False,False
331,4.0,331,429.58053990011103,Go,space,0.4675441000144928,Correct,False,False
332,4.0,332,430.5795527999289,Go,space,0.4341865999158472,Correct,False,False
333,4.0,333,431.57940610009246,No_go,,0.0,Correct,False,False
334,4.0,334,432.5786798999179,Go,space,0.4165175000671297,Correct,False,False
335,4.0,335,433.5769042000175,Go,space,0.4504668000154197,Correct,False,False
336,4.0,336,434.5763608000707,Go,space,0.4004120000172406,Correct,False,False
337,4.0,337,435.57512359996326,Go,space,0.3668578001670539,Correct,False,False
338,4.0,338,436.5740225999616,Go,space,0.3673223999794572,Correct,False,False
339,4.0,339,437.5731862999965,Go,space,0.4005319999996573,Correct,False,False
340,4.0,340,438.572327400092,No_go,,0.0,Correct,False,False
341,4.0,341,439.571527000051,Go,space,0.4008952998556196,Correct,False,False
342,4.0,342,440.57139050005935,No_go,,0.0,Correct,False,False
343,4.0,343,441.56961690005846,No_go,space,0.3832108001224696,Incorrect,False,True
344,4.0,344,442.568657200085,Go,space,0.4001567999366671,Correct,False,False
345,4.0,345,443.570095699979,No_go,,0.0,Correct,False,False
346,4.0,346,444.5670618999284,Go,space,0.3828894000034779,Correct,False,False
347,4.0,347,445.5663137999363,Go,space,0.4159967000596225,Correct,False,False
348,4.0,348,446.5651088999584,Go,space,0.3860146999359131,Correct,False,False
349,4.0,349,447.5640406999737,Go,space,0.416207900037989,Correct,False,False
350,4.0,350,448.5632210001349,Go,space,0.4043777000624686,Correct,False,False
351,4.0,351,449.562080899952,Go,space,0.3834955999627709,Correct,False,False
352,4.0,352,450.5602830001153,Go,space,0.4173809001222253,Correct,False,False
353,4.0,353,451.5596893001348,Go,space,0.407124999910593,Correct,False,False
354,4.0,354,452.5595080999192,No_go,space,0.3667700001969933,Incorrect,False,True
